CRYAB	CRYAA
CRYBB2	HSPB1
HSPB1	CRYAA
CRYAB	HSPB1
DDR2	SRC
SHC1	DDR2
PIN1	CSNK2A1
TOP2A	PIN1
VAV1	CRK
CBL	CRK
RAPGEF1	CRK
RAPGEF1	GRB2
IGF1R	GRB10
GRB10	INSR
GRB10	EGFR
HRAS	CAV1
CAV1	SRC
IRS2	IGF1R
INSR	IRS2
INSR	IRS1
VWF	GP1BA
QARS1	HSP90AA1
HSP90AA1	DARS1
MARS1	HSP90AA1
EPRS1	IARS1
HSP90AA1	EPRS1
CRADD	CASP2
MED15	SMAD2
SMAD4	MED15
SMAD3	MED15
SMAD2	MED24
SMAD1	MED15
SMAD4	SMAD2
MED24	SMAD1
MED6	SMAD2
MED6	SMAD1
FHL2	CARD8
RPA1	WRN
CFTR	CANX
MYOD1	SRF
SRF	MYOG
SMAD4	CEBPB
CEBPB	SMAD3
PRKAR1A	AKAP1
XIAP	HTRA2
TSC2	YWHAZ
YWHAG	TSC2
SFN	TSC2
TSC2	YWHAE
TSC2	YWHAB
YWHAH	TSC2
TSC2	YWHAQ
IGF1R	YWHAE
YWHAQ	PDPK1
PDPK1	YWHAH
YWHAZ	FOXO3
FOXO3	AKT1
CDKN1B	YWHAQ
CDKN1B	AKT1
YWHAQ	SH3BP2
CD2	CD2BP2
YWHAQ	YAP1
CD2	PSTPIP1
PTPN1	PSTPIP1
CD2AP	CD2
YWHAB	WEE1
CDK1	SFN
YWHAQ	PIK3CB
MMP14	C1QBP
ADAM22	YWHAZ
ADAM23	YWHAZ
PTH1R	YWHAH
CDC25C	PLK1
KCNK3	YWHAB
CASP3	YWHAE
TERF1	MAPRE1
APC	MAPRE1
TERF1	PINX1
TERF1	NME1
TINF2	TERF1
DLG5	SORBS3
CALM1	GP6
SRSF10	FUS
RBM8A	UPF3B
UPF3B	UPF2
ARHGAP32	GAB1
MAP1B	GAN
SKI	SMAD3
PLXNB1	RND1
CUX1	RB1
MAP4K1	CRK
MAP4K1	CRKL
MAP4K5	CRK
CRKL	MAP4K5
GRB2	MAP4K5
ATXN1	YWHAZ
ATXN1	YWHAE
CDK11B	PAK1
CDC25B	YWHAB
YWHAE	CDC25B
YWHAB	BID
YWHAZ	IL9R
NR3C1	SFN
PTPRC	LCK
KHDRBS1	LCK
PARP1	TP53
PRPF4	PPIH
PRKACA	GRIA1
LCK	SH2D2A
GRIA4	CAMK2A
PRKACA	GRIA4
MAP3K11	MAP4K2
MAP4K2	MAP3K1
SIAH1	SLC9A3R2
MARK3	PKP2
YWHAZ	PKP2
YWHAB	TPD52L1
YWHAZ	TPD52L1
EEA1	RAB22A
RAB5A	EEA1
MAGED1	XIAP
RIPK1	TRIM38
VDR	HR
HNF4A	SREBF2
TRPS1	RNF4
GRN	HSPG2
MYLIP	CNPY2
PRLR	YWHAZ
YWHAZ	CDC25B
RPS6KA5	RELA
RPS6KA4	MAPK14
RPS6KA4	MAPK3
TOLLIP	TOM1
CDC25A	YWHAE
BRCA1	BRIP1
PAXIP1	TP53BP1
E2F1	TOPBP1
POLR2A	CTDP1
BMI1	E2F6
RYBP	E2F6
E2F6	PCGF2
RAD51B	H1-0
RAD51B	H2BC10
H4-16	RAD51B
RAD51B	H3C1
CDC25B	YWHAH
YWHAB	RPS6KA1
RGS3	YWHAB
JUN	COP1
COP1	JUND
RAC1	ARHGAP15
DAXX	DAPK3
PAWR	DAPK3
MT-RNR2	BAX
APP	TP53BP2
BCAP31	BCL2
BCL2L1	BCAP31
BCAP31	CASP8
PACSIN3	ADAM15
SNX9	ADAM15
ADAM15	SPAG5
ADAM15	MAD2L2
ADAM15	SH3GL2
ADAM9	MAD2L2
ADAM9	PACSIN3
ADAM9	SH3GL2
FANCG	FANCA
SPTAN1	FANCA
FANCC	SPTAN1
FANCC	FANCA
FANCG	FANCF
FANCE	FANCC
CDK1	FANCC
HSP90B1	FANCC
ADAM17	MAD2L1
CBX3	TRIM28
CBX5	TRIM28
PTPN6	CD22
CD22	SYK
CD22	PLCG1
PRMT2	ESR1
PRMT2	ESR2
PRMT2	PGR
PRMT2	THRB
PRMT2	NPM1
PRMT2	RXRA
PRMT2	PPARA
SCARB1	PRMT2
PRMT2	NCOA6
PRMT1	ILF3
SHC1	APP
APP	SHC3
PICK1	ASIC2
PICK1	ASIC1
APP	APBB2
APBB2	APLP2
APP	CHRNA7
CD22	PIK3R1
CD22	LYN
PIK3R3	CD19
CGN	TJP1
SMARCA4	FANCA
SETDB1	ERG
BRCA2	SEM1
GRB10	EPHB1
EPHB1	GRB2
COTL1	ALOX5
APP	HSD17B10
DNMT3B	SUMO1
DNMT3B	UBE2I
ERBB4	DLG4
ERBB4	SNTB2
ERBB4	DLG2
ERBB4	DLG3
IL7	IL7R
IL7	IL2RG
FANCE	FANCA
FANCE	FANCD2
FANCE	FANCG
FANCE	FANCF
BRCA1	FANCD2
FANCA	BRCA1
AHR	NCOA7
ARNT	NCOA7
ARNT	AHR
AHR	NCOR2
ARNT	NCOR2
ABCD3	ABCD1
SEC23A	SEC24B
SEC23A	SEC24C
NCOA3	IKBKG
IKBKB	NCOA3
IKBKB	CHUK
NCOA3	CHUK
CREBBP	CHUK
CREBBP	IKBKB
CREBBP	NCOA2
CREBBP	NCOA3
CREBBP	IKBKG
CREBBP	TRIM21
CREBBP	NCOA1
SH3GL2	ITCH
FANCA	FANCF
PARD6A	TCP10L3
PARD6A	CDC42
PAG1	SLC9A3R1
APBB1	APLP2
APP	APBB3
APBB3	APLP2
APBB1	APP
GHR	NCOA6
NCOA6	THRA
NCOA6	THRB
NCOA6	NPM1
NCOA6	RXRA
NCOA6	ESR1
VDR	NCOA6
NCOA6	CREBBP
EIF5B	EIF1AY
KPNA2	CSE1L
KPNA2	KPNB1
KPNA2	RAN
XPA	XAB2
XAB2	ERCC8
ERCC6	POLR2A
ERCC6	XAB2
XAB2	POLR2A
PIN1	TP53
PARD6A	PRKCZ
PARD6B	PRKCI
PARD6B	PRKCZ
PARD6G	PRKCI
PARD6A	RAC1
PARD6B	RAC1
PARD6B	CDC42
PARD6G	RAC1
PARD6G	CDC42
PRKCI	RAC1
PRKCI	CDC42
PRKCI	PRKCZ
CDK4	CDC37
CDC37	CDK6
NUP107	NUP133
NUP107	NUP98
NUP107	NUP160
NUP133	NUP160
NUP133	NUP98
DAXX	CENPC
DMD	SNTB1
PML	DAXX
CDC37	AKT1
CDC37	HSP90AA1
CDC37	AKT2
AKT3	CDC37
CREBBP	DAXX
DAXX	PAX5
LMX1B	LDB1
CD1B	B2M
ZFYVE9	SMAD3
FKBP1A	MTOR
IL4R	IL4
TNPO1	RAN
FGF1	FGFR2
PKN1	RHOA
CAPN2	CAPNS1
HRAS	PIK3CG
IL10RA	IL10
ITGB3	ITGAV
NXT1	NXF1
CTNNB1	TCF7L2
FNTB	FNTA
NCF2	RAC1
RAC2	NCF2
TFDP2	E2F4
B2M	HLA-A
HLA-C	B2M
RARA	RXRA
IGHG4	IGKC
ACTA1	GSN
B2M	FCGRT
CBL	UBE2L3
HLA-B	B2M
IGKC	IGHG1
HLA-DQB1	HLA-DQA1
F8	IGKV3-20
HLA-DRB1	HLA-DRA
BRCA1	BARD1
ACTA1	GC
NCF1	NCF2
IGLV2-8	IGLC1
IGHV3-33	IGLC1
THRB	RXRA
HBG2	HBA1
IGLV2-8	IGHG1
ETFA	ETFB
CDK2	CKS1B
MAX	MYC
HLA-DMA	HLA-DMB
IGHG1	IGLC1
EIF4A2	EIF4G2
MT1H	DNAJC1
DNAJC1	SERPINA3
ACTN2	LRP12
MYOT	LRP12
LRP12	SNAPIN
LRP12	RACK1
NMRK2	LRP12
LRP12	ZFYVE9
NRCAM	HSPA12A
FEM1B	KIAA0319
SH2B1	KIAA0319
MACF1	NRCAM
MAGI3	NRCAM
ITSN2	SYNJ2
VPS13D	MADD
HECTD1	IGSF1
RANBP10	IGSF1
CKAP5	PTPRN2
FNBP4	PLXNA2
UBAP2L	PLXNA2
CEMIP	PLXNA2
TTC28	ZNF862
PDCD6IP	PLXNA2
ATXN7L1	ZNF862
PDZD2	NRXN1
SIPA1L1	NRXN1
MYO16	NRXN1
U2SURP	TBC1D4
MACF1	NRXN1
EP400	TBC1D4
TET2	TBC1D4
TBC1D4	RBM12
MACF1	PLXND1
SWAP70	CELSR3
AP2M1	RRP12
WHRN	LRP4
DST	CELSR3
CTR9	CNTNAP2
ZMIZ1	CNTNAP2
TRIP12	CLSTN1
SETDB1	CLSTN1
MACF1	CNTNAP2
SLK	CLSTN1
MCM3AP	CLSTN1
BAHCC1	CLSTN1
MACF1	NRXN2
ASAP2	THSD7A
UNC13A	EPB41L3
CDK5RAP2	ABCA2
CEP152	EPB41L3
MAGI2	DSCAML1
PLCL2	DSCAML1
MAGI3	DSCAML1
ARHGEF11	PLXNB3
SPOCK2	PLXNB3
CUL7	PLXNB3
MAGI2	PLXNB3
CUL9	PLXNB3
BTBD3	PLXNB3
MAGI3	PLXNB3
MED13	MED23
