A2M PROC
ATG12 GABARAPL1
ATG12 GABARAPL2
ATG13 ATG101
ATG13 ATG14
ATG13 ATG9A
ATG13 ATG9B
ATG13 RB1CC1
ATG13 VMP1
ATG14 BECN1
ATG14 BECN2
ATG14 NRBF2
ATG16L1 ATG12
ATG16L1 ATG5
ATG16L1 GABARAP
ATG16L1 GABARAPL1
ATG16L1 GABARAPL2
ATG2A WIPI1
ATG2A WIPI2
ATG2B WIPI1
ATG2B WIPI2
ATG3 GABARAP
ATG3 GABARAPL1
ATG3 GABARAPL2
ATG4A GABARAP
ATG4A GABARAPL1
ATG4A GABARAPL2
ATG4B GABARAP
ATG4B GABARAPL1
ATG4B GABARAPL2
ATG4C GABARAP
ATG4C GABARAPL1
ATG4C GABARAPL2
ATG4D GABARAP
ATG4D GABARAPL1
ATG4D GABARAPL2
ATG5 ATG12
ATG5 GABARAP
ATG5 GABARAPL1
ATG5 GABARAPL2
ATG7 ATG12
ATG7 GABARAP
ATG7 GABARAPL1
ATG7 GABARAPL2
ATIC AMT
ATIC CANT1
ATIC ENTPD1
ATIC ENTPD3
ATIC ENTPD4
ATIC ENTPD5
ATIC ENTPD6
ATIC ENTPD8
ATIC FTCD
ATIC GART
ATIC HPRT1
ATIC IMPDH1
ATIC IMPDH2
ATIC ITPA
ATIC MTR
ATIC NT5C
ATIC NT5C1A
ATIC NT5C1B
ATIC NT5C1B-RDH14
ATIC NT5C2
ATIC NT5C3A
ATIC NT5C3B
ATIC NT5E
ATIC NT5M
ATIC NUDT16
ATIC SHMT1
ATIC SHMT2
ATM BRCA1
ATM CHEK1
ATM CHEK2
ATM SQSTM1
ATM TP53
ATP12A LHPP
ATP12A PPA1
ATP12A PPA2
ATP1A1 SLC8A1
ATP1A1 SLC8A2
ATP1A1 SLC8A3
ATP1A2 SLC8A1
ATP1A2 SLC8A2
ATP1A2 SLC8A3
ATP1A3 SLC8A1
ATP1A3 SLC8A2
ATP1A3 SLC8A3
ATP1A4 SLC8A1
ATP1A4 SLC8A2
ATP1A4 SLC8A3
ATP1B1 SLC8A1
ATP1B1 SLC8A2
ATP1B1 SLC8A3
ATP1B2 SLC8A1
ATP1B2 SLC8A2
ATP1B2 SLC8A3
ATP1B3 SLC8A1
ATP1B3 SLC8A2
ATP1B3 SLC8A3
ATP1B4 SLC8A1
ATP1B4 SLC8A2
ATP1B4 SLC8A3
ATP4A LHPP
ATP4A PPA1
ATP4A PPA2
ATP4B LHPP
ATP4B PPA1
ATP4B PPA2
ATP5F1A LHPP
ATP5F1A PPA1
ATP5F1A PPA2
ATP5F1B LHPP
ATP5F1B PPA1
ATP5F1B PPA2
ATP5F1C LHPP
ATP5F1C PPA1
ATP5F1C PPA2
ATP5F1D LHPP
ATP5F1D PPA1
ATP5F1D PPA2
ATP5F1E LHPP
ATP5F1E PPA1
ATP5F1E PPA2
ATP5MC1 LHPP
ATP5MC1 PPA1
ATP5MC1 PPA2
ATP5MC2 LHPP
ATP5MC2 PPA1
ATP5MC2 PPA2
ATP5MC3 LHPP
ATP5MC3 PPA1
ATP5MC3 PPA2
ATP5ME LHPP
ATP5ME PPA1
ATP5ME PPA2
ATP5MF LHPP
ATP5MF PPA1
ATP5MF PPA2
ATP5MG LHPP
ATP5MG PPA1
ATP5MG PPA2
ATP5PB LHPP
ATP5PB PPA1
ATP5PB PPA2
ATP5PD LHPP
ATP5PD PPA1
ATP5PD PPA2
ATP5PF LHPP
ATP5PF PPA1
ATP5PF PPA2
ATP5PO LHPP
ATP5PO PPA1
ATP5PO PPA2
ATP6 LHPP
ATP6 PPA1
ATP6 PPA2
ATP6AP1 EGFR
ATP6AP1 LHPP
ATP6AP1 PPA1
ATP6AP1 PPA2
ATP6AP1 PRKCA
ATP6AP1 PRKCB
ATP6AP1 PRKCG
ATP6V0A1 EGFR
ATP6V0A1 LHPP
ATP6V0A1 PPA1
ATP6V0A1 PPA2
ATP6V0A2 EGFR
ATP6V0A2 LHPP
ATP6V0A2 PPA1
ATP6V0A2 PPA2
ATP6V0A4 EGFR
ATP6V0A4 LHPP
ATP6V0A4 PPA1
ATP6V0A4 PPA2
ATP6V0B EGFR
ATP6V0B LHPP
ATP6V0B PPA1
ATP6V0B PPA2
ATP6V0C EGFR
ATP6V0C LHPP
ATP6V0C PPA1
ATP6V0C PPA2
ATP6V0D1 EGFR
ATP6V0D1 LHPP
ATP6V0D1 PPA1
ATP6V0D1 PPA2
ATP6V0D2 EGFR
ATP6V0D2 LHPP
ATP6V0D2 PPA1
ATP6V0D2 PPA2
ATP6V0E1 EGFR
ATP6V0E1 LHPP
ATP6V0E1 PPA1
ATP6V0E1 PPA2
ATP6V0E2 EGFR
ATP6V0E2 LHPP
ATP6V0E2 PPA1
ATP6V0E2 PPA2
ATP6V1A EGFR
ATP6V1A LAMTOR1
ATP6V1A LAMTOR2
ATP6V1A LAMTOR3
ATP6V1A LAMTOR4
ATP6V1A LAMTOR5
ATP6V1A LHPP
ATP6V1A PPA1
ATP6V1A PPA2
ATP6V1B1 EGFR
ATP6V1B1 LAMTOR1
ATP6V1B1 LAMTOR2
ATP6V1B1 LAMTOR3
ATP6V1B1 LAMTOR4
ATP6V1B1 LAMTOR5
ATP6V1B1 LHPP
ATP6V1B1 PPA1
ATP6V1B1 PPA2
ATP6V1B2 EGFR
ATP6V1B2 LAMTOR1
ATP6V1B2 LAMTOR2
ATP6V1B2 LAMTOR3
ATP6V1B2 LAMTOR4
ATP6V1B2 LAMTOR5
ATP6V1B2 LHPP
ATP6V1B2 PPA1
ATP6V1B2 PPA2
ATP6V1C1 EGFR
ATP6V1C1 LAMTOR1
ATP6V1C1 LAMTOR2
ATP6V1C1 LAMTOR3
ATP6V1C1 LAMTOR4
ATP6V1C1 LAMTOR5
ATP6V1C1 LHPP
ATP6V1C1 PPA1
ATP6V1C1 PPA2
ATP6V1C2 EGFR
ATP6V1C2 LAMTOR1
ATP6V1C2 LAMTOR2
ATP6V1C2 LAMTOR3
ATP6V1C2 LAMTOR4
ATP6V1C2 LAMTOR5
ATP6V1C2 LHPP
ATP6V1C2 PPA1
ATP6V1C2 PPA2
ATP6V1D EGFR
ATP6V1D LAMTOR1
ATP6V1D LAMTOR2
ATP6V1D LAMTOR3
ATP6V1D LAMTOR4
ATP6V1D LAMTOR5
ATP6V1D LHPP
ATP6V1D PPA1
ATP6V1D PPA2
ATP6V1E1 EGFR
ATP6V1E1 LAMTOR1
ATP6V1E1 LAMTOR2
ATP6V1E1 LAMTOR3
ATP6V1E1 LAMTOR4
ATP6V1E1 LAMTOR5
ATP6V1E1 LHPP
ATP6V1E1 PPA1
ATP6V1E1 PPA2
ATP6V1E2 EGFR
ATP6V1E2 LAMTOR1
ATP6V1E2 LAMTOR2
ATP6V1E2 LAMTOR3
ATP6V1E2 LAMTOR4
ATP6V1E2 LAMTOR5
ATP6V1E2 LHPP
ATP6V1E2 PPA1
ATP6V1E2 PPA2
ATP6V1F EGFR
ATP6V1F LAMTOR1
ATP6V1F LAMTOR2
ATP6V1F LAMTOR3
ATP6V1F LAMTOR4
ATP6V1F LAMTOR5
ATP6V1F LHPP
ATP6V1F PPA1
ATP6V1F PPA2
ATP6V1G1 EGFR
ATP6V1G1 LAMTOR1
ATP6V1G1 LAMTOR2
ATP6V1G1 LAMTOR3
ATP6V1G1 LAMTOR4
ATP6V1G1 LAMTOR5
ATP6V1G1 LHPP
ATP6V1G1 PPA1
ATP6V1G1 PPA2
ATP6V1G2 EGFR
ATP6V1G2 LAMTOR1
ATP6V1G2 LAMTOR2
ATP6V1G2 LAMTOR3
ATP6V1G2 LAMTOR4
ATP6V1G2 LAMTOR5
ATP6V1G2 LHPP
ATP6V1G2 PPA1
ATP6V1G2 PPA2
ATP6V1G3 EGFR
ATP6V1G3 LAMTOR1
ATP6V1G3 LAMTOR2
ATP6V1G3 LAMTOR3
ATP6V1G3 LAMTOR4
ATP6V1G3 LAMTOR5
ATP6V1G3 LHPP
ATP6V1G3 PPA1
ATP6V1G3 PPA2
ATP6V1H EGFR
ATP6V1H LAMTOR1
ATP6V1H LAMTOR2
ATP6V1H LAMTOR3
ATP6V1H LAMTOR4
ATP6V1H LAMTOR5
ATP6V1H LHPP
ATP6V1H PPA1
ATP6V1H PPA2
ATP8 LHPP
ATP8 PPA1
ATP8 PPA2
ATR BRCA1
ATR CHEK1
ATR CHEK2
ATR SQSTM1
ATR TP53
ATXN1 RBPJ
ATXN1 RBPJL
ATXN1L RBPJ
ATXN1L RBPJL
AUH MCCC1
AUH MCCC2
AURKA CPEB1
AURKA CPEB2
AURKA CPEB3
AURKA CPEB4
AVP AGTR1
AVP AVPR1A
AVP AVPR1B
AVP AVPR2
AVP CXCR1
AVP CXCR2
AVP F2R
AVP GRM1
AVP GRM2
AVP GRM3
AVP GRM4
AVP GRM5
AVP GRM6
AVP GRM7
AVP GRM8
AVP LPAR1
AVP LPAR2
AVP LPAR3
AVP LPAR4
AVP LPAR5
AVP LPAR6
AVP PTGFR
AVPR1A GNA11
AVPR1A GNA12
AVPR1A GNA13
AVPR1A GNA14
AVPR1A GNA15
AVPR1A GNAQ
AVPR1A GNAS
AVPR1A PLCB1
AVPR1A PLCB2
AVPR1A PLCB3
AVPR1A PLCB4
AVPR1B GNA11
AVPR1B GNA12
AVPR1B GNA13
AVPR1B GNA14
AVPR1B GNA15
AVPR1B GNAQ
AVPR1B GNAS
AVPR1B PLCB1
AVPR1B PLCB2
AVPR1B PLCB3
AVPR1B PLCB4
AVPR2 GNA12
AVPR2 GNA13
AVPR2 GNAS
AVPR2 PLCB1
AVPR2 PLCB2
AVPR2 PLCB3
AVPR2 PLCB4
AWAT2 CYP27C1
AWAT2 HSD17B6
AWAT2 RDH10
AWAT2 RDH11
AWAT2 RDH5
AWAT2 RPE65
AWAT2 SDR16C5
AXIN1 APC
AXIN1 APC2
AXIN1 CSNK1E
AXIN1 CTNNB1
AXIN1 DVL1
AXIN1 DVL2
AXIN1 DVL3
AXIN1 GSK3B
AXIN1 TPTEP2-CSNK1E
AXIN2 APC
AXIN2 APC2
AXIN2 CSNK1E
AXIN2 CTNNB1
AXIN2 DVL1
AXIN2 DVL2
AXIN2 DVL3
AXIN2 GSK3B
AXIN2 TPTEP2-CSNK1E
AXL GAB1
AXL JAK1
AXL JAK2
AXL PLCG1
AXL PLCG2
AXL SHC1
AXL SHC2
AXL SHC3
AXL SHC4
AXL SRC
AZIN2 AGMAT
B2M HLA-A
B2M HLA-B
B2M HLA-C
B2M HLA-E
B2M HLA-F
B2M HLA-G
B3GALNT1 A4GALT
B3GALNT1 GBGT1
B3GALNT2 POMK
B3GALT1 FUT1
B3GALT1 FUT2
B3GALT1 FUT3
B3GALT1 ST3GAL3
B3GALT1 ST3GAL4
B3GALT2 FUT1
B3GALT2 FUT2
B3GALT2 FUT3
B3GALT2 ST3GAL3
B3GALT2 ST3GAL4
B3GALT4 B4GALNT1
B3GALT4 ST3GAL1
B3GALT4 ST3GAL2
B3GALT5 B3GALNT1
B3GALT5 FUT1
B3GALT5 FUT2
B3GALT5 FUT3
B3GALT5 GBGT1
B3GALT5 HEXA
B3GALT5 HEXB
B3GALT5 NAGA
B3GALT5 ST3GAL1
B3GALT5 ST3GAL2
B3GALT5 ST3GAL3
B3GALT5 ST3GAL4
B3GAT1 CHST10
B3GAT2 CHST10
B3GAT3 B3GALT6
B3GNT2 B4GALT1
B3GNT2 FUT1
B3GNT2 FUT2
B3GNT2 GCNT2
B3GNT3 B4GALT1
B3GNT3 FUT1
B3GNT3 FUT2
B3GNT3 GCNT2
B3GNT4 B4GALT1
B3GNT4 FUT1
B3GNT4 FUT2
B3GNT5 B3GALT1
B3GNT5 B3GALT2
B3GNT5 B3GALT5
B3GNT5 B4GALT1
B3GNT6 C1GALT1
B3GNT6 C1GALT1C1
B3GNT6 GALNT1
B3GNT6 GALNT10
B3GNT6 GALNT11
B3GNT6 GALNT12
B3GNT6 GALNT13
B3GNT6 GALNT14
B3GNT6 GALNT15
B3GNT6 GALNT16
B3GNT6 GALNT17
B3GNT6 GALNT18
B3GNT6 GALNT2
B3GNT6 GALNT3
B3GNT6 GALNT4
B3GNT6 GALNT5
B3GNT6 GALNT6
B3GNT6 GALNT7
B3GNT6 GALNT8
B3GNT6 GALNT9
B3GNT6 GALNTL5
B3GNT6 GALNTL6
B3GNT6 POC1B-GALNT4
B4GALNT1 B3GALT4
B4GALNT3 CHST8
B4GALNT3 CHST9
B4GALNT4 CHST8
B4GALNT4 CHST9
B4GALT1 A4GALT
B4GALT1 B3GALNT1
B4GALT1 B3GALT1
B4GALT1 B3GALT2
B4GALT1 B3GALT5
B4GALT1 B3GAT1
B4GALT1 B3GAT2
B4GALT1 B4GALNT3
B4GALT1 B4GALNT4
B4GALT1 FUT1
B4GALT1 FUT2
B4GALT1 FUT4
B4GALT1 FUT9
B4GALT1 GALE
B4GALT1 GALT
B4GALT1 ST3GAL3
B4GALT1 ST6GAL1
B4GALT1 ST6GAL2
B4GALT2 A4GALT
B4GALT2 B3GALNT1
B4GALT2 B3GALT1
B4GALT2 B3GALT2
B4GALT2 B3GALT5
B4GALT2 B3GAT1
B4GALT2 B3GAT2
B4GALT2 B3GNT2
B4GALT2 B3GNT3
B4GALT2 B3GNT4
B4GALT2 B3GNT5
B4GALT2 B4GALNT3
B4GALT2 B4GALNT4
B4GALT2 FUT1
B4GALT2 FUT2
B4GALT2 FUT3
B4GALT2 FUT4
B4GALT2 FUT5
B4GALT2 FUT6
B4GALT2 FUT9
B4GALT2 GALE
B4GALT2 GALT
B4GALT2 ST3GAL3
B4GALT2 ST3GAL6
B4GALT2 ST6GAL1
B4GALT2 ST6GAL2
B4GALT3 A4GALT
B4GALT3 B3GALNT1
B4GALT3 B3GALT1
B4GALT3 B3GALT2
B4GALT3 B3GALT5
B4GALT3 B3GAT1
B4GALT3 B3GAT2
B4GALT3 B3GNT2
B4GALT3 B3GNT3
B4GALT3 B3GNT4
B4GALT3 B3GNT5
B4GALT3 B4GALNT3
B4GALT3 B4GALNT4
B4GALT3 FUT1
B4GALT3 FUT2
B4GALT3 FUT3
B4GALT3 FUT4
B4GALT3 FUT5
B4GALT3 FUT6
B4GALT3 FUT9
B4GALT3 GCNT2
B4GALT3 ST3GAL3
B4GALT3 ST3GAL6
B4GALT3 ST6GAL1
B4GALT3 ST6GAL2
B4GALT4 A4GALT
B4GALT4 B3GALNT1
B4GALT4 B3GALT1
B4GALT4 B3GALT2
B4GALT4 B3GALT5
B4GALT4 B3GNT2
B4GALT4 B3GNT3
B4GALT4 B3GNT4
B4GALT4 B3GNT5
B4GALT4 FUT1
B4GALT4 FUT2
B4GALT4 FUT3
B4GALT4 FUT4
B4GALT4 FUT5
B4GALT4 FUT6
B4GALT4 FUT9
B4GALT4 GCNT2
B4GALT4 ST3GAL6
B4GALT7 B3GALT6
B4GAT1 LARGE1
B4GAT1 LARGE2
BAAT ACOT8
BAAT SLC27A5
BABAM1 ABRAXAS1
BABAM1 BABAM2
BABAM1 BRCC3
BAD BCL2
BAD BCL2L1
BAD CYCS
BAIAP2 ENAH
BAIAP2 WASF2
BAK1 CAPN1
BAK1 CAPN2
BAK1 CYCS
BAMBI ACVR1
BAMBI ACVR1B
BAMBI BMPR1A
BAMBI BMPR1B
BAMBI DVL1
BAMBI DVL2
BAMBI DVL3
BAMBI FZD1
BAMBI FZD10
BAMBI FZD2
BAMBI FZD3
BAMBI FZD4
BAMBI FZD5
BAMBI FZD6
BAMBI FZD7
BAMBI FZD8
BAMBI FZD9
BAMBI LRP5
BAMBI LRP6
BAMBI TGFBR1
BAX AIFM1
BAX BCL2
BAX CAPN1
BAX CAPN2
BAX CASP3
BAX CYCS
BBC3 BCL2
BBC3 BCL2L1
BBC3 TP53
BBC3 TP53AIP1
BBOX1 ALDH1B1
BBOX1 ALDH2
BBOX1 ALDH3A2
BBOX1 ALDH7A1
BBOX1 ALDH9A1
BCAR1 CRK
BCAR1 CRKL
BCAR1 MAP3K1
BCAR1 PXN
BCAT1 BCKDHA
BCAT1 BCKDHB
BCAT1 GCLC
BCAT1 GCLM
BCAT2 BCKDHA
BCAT2 BCKDHB
BCAT2 GCLC
BCAT2 GCLM
BCKDHA BCAT1
BCKDHA BCAT2
BCKDHA DBT
BCKDHA DLD
BCKDHA IL4I1
BCKDHA LDHA
BCKDHA LDHAL6A
BCKDHA LDHAL6B
BCKDHA LDHB
BCKDHA LDHC
BCKDHB BCAT1
BCKDHB BCAT2
BCKDHB DBT
BCKDHB DLD
BCKDHB IL4I1
BCKDHB LDHA
BCKDHB LDHAL6A
BCKDHB LDHAL6B
BCKDHB LDHB
BCKDHB LDHC
BCL10 MALT1
BCL10 MAP3K7
BCL2 BAD
BCL2 BAK1
BCL2 BAX
BCL2 BIK
BCL2 CASP3
BCL2 CYCS
BCL2 NLRP1
BCL2 PPID
BCL2 TP53
BCL2L1 BAK1
BCL2L1 BAX
BCL2L1 BNIP3
BCL2L1 CYCS
BCL2L1 NLRP1
BCL2L1 PGAM5
BCL2L11 BAX
BCL2L11 BCL2
BCL2L11 BCL2L1
BCL2L13 GABARAP
BCL2L13 GABARAPL1
BCL2L13 GABARAPL2
BCL3 NFKB1
BCO1 ADH1A
BCO1 ADH1B
BCO1 ADH1C
BCO1 ADH4
BCO1 ADH5
BCO1 ADH6
BCO1 ADH7
BCO1 ALDH1A1
BCO1 ALDH1A2
BCO1 AOX1
BCO1 DHRS3
BCO1 DHRS4
BCO1 DHRS4L1
BCO1 DHRS4L2
BCO1 DHRS9
BCO1 RDH10
BCO1 RDH11
BCO1 RDH12
BCO1 RDH16
BCO1 RDH8
BCR GRB2
BCR MYC
BCR SHC1
BCR SHC2
BCR SHC3
BCR SHC4
BCR STAT5A
BCR STAT5B
BDH1 AACS
BDH1 HMGCL
BDH1 HMGCLL1
BDH1 OXCT1
BDH1 OXCT2
BDH2 AACS
BDH2 HMGCL
BDH2 HMGCLL1
BDH2 OXCT1
BDH2 OXCT2
BDKRB1 GNA11
BDKRB1 GNA14
BDKRB1 GNA15
BDKRB1 GNAQ
BDKRB1 GNG12
BDKRB2 GNA11
BDKRB2 GNA14
BDKRB2 GNA15
BDKRB2 GNAI1
BDKRB2 GNAI2
BDKRB2 GNAI3
BDKRB2 GNAQ
BDKRB2 GNG12
BDNF CSF1R
BDNF EGFR
BDNF EPHA2
BDNF ERBB2
BDNF ERBB3
BDNF ERBB4
BDNF FGFR1
BDNF FGFR2
BDNF FGFR3
BDNF FGFR4
BDNF FLT1
BDNF FLT3
BDNF FLT4
BDNF IGF1R
BDNF INSR
BDNF KDR
BDNF KIT
BDNF MET
BDNF NGFR
BDNF NTRK1
BDNF NTRK2
BDNF PDGFRA
BDNF PDGFRB
BDNF TEK
BECN1 GABARAP
BECN1 GABARAPL1
BECN1 GABARAPL2
BECN1 NRBF2
BECN1 PIK3C3
BECN2 GABARAP
BECN2 GABARAPL1
BECN2 GABARAPL2
BECN2 NRBF2
BECN2 PIK3C3
BEX3 YWHAE
BHMT AHCY
BHMT AHCYL1
BHMT AHCYL2
BHMT CBS
BHMT CBSL
BHMT DMGDH
BHMT IL4I1
BHMT KYAT1
BHMT KYAT3
BHMT MAT1A
BHMT MAT2A
BHMT MAT2B
BHMT TAT
BHMT2 AHCY
BHMT2 AHCYL1
BHMT2 AHCYL2
BHMT2 CBS
BHMT2 CBSL
BHMT2 IL4I1
BHMT2 KYAT1
BHMT2 KYAT3
BHMT2 MAT1A
BHMT2 MAT2A
BHMT2 MAT2B
BHMT2 TAT
BID BAK1
BID BAX
BID BCL2
BID BCL2L1
BID CYCS
BIRC2 CASP3
BIRC2 CASP7
BIRC2 CASP9
BIRC2 RIPK1
BIRC2 RIPK2
BIRC2 TRAF3
BIRC3 CASP3
BIRC3 CASP7
BIRC3 CASP9
BIRC3 RIPK1
BIRC3 RIPK2
BIRC3 TRAF3
BIRC5 CASP3
BIRC5 CASP7
BIRC5 CASP9
BIRC7 CASP3
BIRC7 CASP7
BIRC7 CASP9
BLNK BTK
BLNK GRB2
BLNK PLCG2
BLVRA UGT1A1
BLVRA UGT1A10
BLVRA UGT1A3
BLVRA UGT1A4
BLVRA UGT1A5
BLVRA UGT1A6
BLVRA UGT1A7
BLVRA UGT1A8
BLVRA UGT1A9
BLVRA UGT2A1
BLVRA UGT2A2
BLVRA UGT2A3
BLVRA UGT2B10
BLVRA UGT2B11
BLVRA UGT2B15
BLVRA UGT2B17
BLVRA UGT2B28
BLVRA UGT2B4
BLVRA UGT2B7
BLVRB RFK
BLVRB UGT1A1
BLVRB UGT1A10
BLVRB UGT1A3
BLVRB UGT1A4
BLVRB UGT1A5
BLVRB UGT1A6
BLVRB UGT1A7
BLVRB UGT1A8
BLVRB UGT1A9
BLVRB UGT2A1
BLVRB UGT2A2
BLVRB UGT2A3
BLVRB UGT2B10
BLVRB UGT2B11
BLVRB UGT2B15
BLVRB UGT2B17
BLVRB UGT2B28
BLVRB UGT2B4
BLVRB UGT2B7
BMP2 ACVR1
BMP2 AMHR2
BMP2 BMPR1A
BMP2 BMPR1B
BMP2 BMPR2
BMP4 ACVR1
BMP4 ACVR2A
BMP4 ACVR2B
BMP4 AMHR2
BMP4 BMPR1A
BMP4 BMPR1B
BMP4 BMPR2
BMP5 AMHR2
BMP5 BMPR1A
BMP5 BMPR1B
BMP5 BMPR2
BMP6 ACVR1
BMP6 AMHR2
BMP6 BMPR1A
BMP6 BMPR1B
BMP6 BMPR2
BMP7 AMHR2
BMP7 BMPR1A
BMP7 BMPR1B
BMP7 BMPR2
BMP8A AMHR2
BMP8A BMPR1A
BMP8A BMPR1B
BMP8A BMPR2
BMP8A PRKAA1
BMP8A PRKAA2
BMP8A PRKAB1
BMP8A PRKAB2
BMP8A PRKAG1
BMP8A PRKAG2
BMP8A PRKAG3
BMP8B AMHR2
BMP8B BMPR1A
BMP8B BMPR1B
BMP8B BMPR2
BMP8B PRKAA1
BMP8B PRKAA2
BMP8B PRKAB1
BMP8B PRKAB2
BMP8B PRKAG1
BMP8B PRKAG2
BMP8B PRKAG3
BMPR1A ACVR2A
BMPR1A BMPR2
BMPR1A MAPK1
BMPR1A MAPK11
BMPR1A MAPK12
BMPR1A MAPK13
BMPR1A MAPK14
BMPR1A MAPK3
BMPR1A SMAD1
BMPR1A SMAD5
BMPR1A SMAD9
BMPR1B ACVR2A
BMPR1B BMPR2
BMPR1B MAPK1
BMPR1B MAPK11
BMPR1B MAPK12
BMPR1B MAPK13
BMPR1B MAPK14
BMPR1B MAPK3
BMPR1B SMAD1
BMPR1B SMAD5
BMPR1B SMAD9
BMPR2 MAPK1
BMPR2 MAPK11
BMPR2 MAPK12
BMPR2 MAPK13
BMPR2 MAPK14
BMPR2 MAPK3
BMPR2 SMAD1
BMPR2 SMAD5
BMPR2 SMAD9
BNIP3 GABARAP
BNIP3 GABARAPL1
BNIP3 GABARAPL2
BNIP3 PPID
BNIP3 RHEB
BNIP3L GABARAP
BNIP3L GABARAPL1
BNIP3L GABARAPL2
BOC SMO
BORCS8-MEF2B KLF2
BPGM MINPP1
BPGM PGAM1
BPGM PGAM2
BPGM PGAM4
BPGM PGK1
BPGM PGK2
BRAF MAP2K1
BRAF MAP2K2
BRAF MAPK1
BRAF MAPK3
BRAP KSR1
BRAP KSR2
BRCA1 ABRAXAS1
BRCA1 BARD1
BRCA1 BRIP1
BRCA1 PALB2
BRCA1 RBBP8
BRCA2 RAD51
BRCA2 SEM1
BRCC3 NLRP3
BRIP1 TOPBP1
BST1 CD38
BST1 NADK
BST1 NADK2
BST1 NAMPT
BST1 NNMT
BST1 NNT
BST1 PNP
BST1 SIRT1
BST1 SIRT2
BST1 SIRT3
BST1 SIRT4
BST1 SIRT5
BST1 SIRT6
BST1 SIRT7
BTC EGFR
BTC ERBB4
BTK BLNK
BTK LCP2
BTK PLCG1
BTK PLCG2
BTRC CD4
BTRC CTNNB1
BTRC SKP1
BTRC WWTR1
BTRC YAP1
BUB1 BUB3
BUB1 MAD1L1
BUB1 MAD2L1
BUB1 MAD2L2
BUB1 SGO1
BUB1B JUN
BUB1B-PAK6 ARHGEF6
BUB1B-PAK6 ARHGEF7
BUB1B-PAK6 LIMK1
BUB1B-PAK6 LIMK2
BUB1B-PAK6 MAP2K1
BUB1B-PAK6 MAP2K4
BUB1B-PAK6 MAP2K7
BUB1B-PAK6 MYLK
BUB1B-PAK6 MYLK2
BUB1B-PAK6 MYLK3
BUB1B-PAK6 MYLK4
BUB1B-PAK6 NCK2
BUB1B-PAK6 RAF1
BVES TJP1
C1GALT1 GCNT1
C1GALT1 GCNT3
C1GALT1 GCNT4
C1GALT1C1 GCNT1
C1GALT1C1 GCNT3
C1GALT1C1 GCNT4
C1QA C2
C1QA C4A
C1QA C4B
C1QB C2
C1QB C4A
C1QB C4B
C1QC C2
C1QC C4A
C1QC C4B
C1R C2
C1R C4A
C1R C4B
C1S C2
C1S C4A
C1S C4B
C3 C3AR1
C3 C5
C3 CFP
C3 CR1
C3 CR1L
C3 ITGAM
C3 ITGB2
C4BPA C4A
C4BPA C4B
C4BPB C4A
C4BPB C4B
C5 C5AR1
C8orf44-SGK3 FOXO1
C8orf44-SGK3 FOXO3
C8orf44-SGK3 FOXO4
C8orf44-SGK3 FOXO6
C9orf72 ATG13
C9orf72 RB1CC1
C9orf72 ULK1
C9orf72 ULK2
CACNA1A INS
CACNA1A RASGRF1
CACNA1A RASGRF2
CACNA1A RASGRP1
CACNA1A RASGRP2
CACNA1A RASGRP3
CACNA1A RASGRP4
CACNA1B INS
CACNA1B RASGRF1
CACNA1B RASGRF2
CACNA1B RASGRP1
CACNA1B RASGRP2
CACNA1B RASGRP3
CACNA1B RASGRP4
CACNA1C CALM1
CACNA1C CALM2
CACNA1C CALM3
CACNA1C CALML3
CACNA1C CALML4
CACNA1C CALML5
CACNA1C CALML6
CACNA1C INS
CACNA1C NOS1
CACNA1C RASGRF1
CACNA1C RASGRF2
CACNA1C RASGRP1
CACNA1C RASGRP2
CACNA1C RASGRP3
CACNA1C RASGRP4
CACNA1D CALM1
CACNA1D CALM2
CACNA1D CALM3
CACNA1D CALML3
CACNA1D CALML4
CACNA1D CALML5
CACNA1D CALML6
CACNA1D INS
CACNA1D NOS1
CACNA1D RASGRF1
CACNA1D RASGRF2
CACNA1D RASGRP1
CACNA1D RASGRP2
CACNA1D RASGRP3
CACNA1D RASGRP4
CACNA1E INS
CACNA1E RASGRF1
CACNA1E RASGRF2
CACNA1E RASGRP1
CACNA1E RASGRP2
CACNA1E RASGRP3
CACNA1E RASGRP4
CACNA1F RASGRF1
CACNA1F RASGRF2
CACNA1F RASGRP1
CACNA1F RASGRP2
CACNA1F RASGRP3
CACNA1F RASGRP4
CACNA1G CALM1
CACNA1G CALM2
CACNA1G CALM3
CACNA1G CALML3
CACNA1G CALML4
CACNA1G CALML5
CACNA1G CALML6
CACNA1G INS
CACNA1G NOS1
CACNA1G RASGRF1
CACNA1G RASGRF2
CACNA1G RASGRP1
CACNA1G RASGRP2
CACNA1G RASGRP3
CACNA1G RASGRP4
CACNA1H CALM1
CACNA1H CALM2
CACNA1H CALM3
CACNA1H CALML3
CACNA1H CALML4
CACNA1H CALML5
CACNA1H CALML6
CACNA1H NOS1
CACNA1H RASGRF1
CACNA1H RASGRF2
CACNA1H RASGRP1
CACNA1H RASGRP2
CACNA1H RASGRP3
CACNA1H RASGRP4
CACNA1I CALM1
CACNA1I CALM2
CACNA1I CALM3
CACNA1I CALML3
CACNA1I CALML4
CACNA1I CALML5
CACNA1I CALML6
CACNA1I NOS1
CACNA1I RASGRF1
CACNA1I RASGRF2
CACNA1I RASGRP1
CACNA1I RASGRP2
CACNA1I RASGRP3
CACNA1I RASGRP4
CACNA1S RASGRF1
