A2M PROC
ADCYAP1 ADCYAP1R1
ADCYAP1 ADORA2A
ADCYAP1 ADRB1
ADCYAP1 DRD1
ADCYAP1 DRD5
ADCYAP1 FSHR
ADCYAP1 GIPR
ADCYAP1 GLP1R
ADCYAP1 GPR119
ADCYAP1 HTR4
ADCYAP1 HTR6
ADCYAP1 LHCGR
ADCYAP1 MC2R
ADCYAP1 NPR1
ADCYAP1 PTGER2
ADCYAP1 TSHR
ADCYAP1 VIPR2
ADCYAP1R1 GNA11
ADCYAP1R1 GNAQ
ADCYAP1R1 GNAS
ADCYAP1R1 GNB1
ADCYAP1R1 GNB2
ADCYAP1R1 GNB3
ADCYAP1R1 GNB4
ADCYAP1R1 GNB5
ADCYAP1R1 GNG10
ADCYAP1R1 GNG11
ADCYAP1R1 GNG12
ADCYAP1R1 GNG13
ADCYAP1R1 GNG2
ADCYAP1R1 GNG3
ADCYAP1R1 GNG4
ADCYAP1R1 GNG5
ADCYAP1R1 GNG7
ADCYAP1R1 GNG8
ADCYAP1R1 GNGT1
ADCYAP1R1 GNGT2
ADH1A ALDH1A1
ADH1A ALDH1A2
ADH1A ALDH1A3
ADH1A ALDH1B1
ADH1A ALDH2
ADH1A ALDH3A1
ADH1A ALDH3A2
ADH1A ALDH3B1
ADH1A ALDH3B2
ADH1A ALDH7A1
ADH1A ALDH9A1
ADH1A AOX1
ADH1A AWAT2
ADH1A COMT
ADH1A CYP27C1
ADH1A DGAT1
ADH1A LRAT
ADH1A LRTOMT
ADH1A MAOA
ADH1A MAOB
ADH1A PNPLA4
ADH1B ALDH1A1
ADH1B ALDH1A2
ADH1B ALDH1A3
ADH1B ALDH1B1
ADH1B ALDH2
ADH1B ALDH3A1
ADH1B ALDH3A2
ADH1B ALDH3B1
ADH1B ALDH3B2
ADH1B ALDH7A1
ADH1B ALDH9A1
ADH1B AOX1
ADH1B AWAT2
ADH1B COMT
ADH1B CYP27C1
ADH1B DGAT1
ADH1B LRAT
ADH1B LRTOMT
ADH1B MAOA
ADH1B MAOB
ADH1B PNPLA4
ADH1C ALDH1A1
ADH1C ALDH1A2
ADH1C ALDH1A3
ADH1C ALDH1B1
ADH1C ALDH2
ADH1C ALDH3A1
ADH1C ALDH3A2
ADH1C ALDH3B1
ADH1C ALDH3B2
ADH1C ALDH7A1
ADH1C ALDH9A1
ADH1C AOX1
ADH1C AWAT2
ADH1C COMT
ADH1C CYP27C1
ADH1C DGAT1
ADH1C LRAT
ADH1C LRTOMT
ADH1C MAOA
ADH1C MAOB
ADH1C PNPLA4
ADH4 ALDH1A1
ADH4 ALDH1A2
ADH4 ALDH1A3
ADH4 ALDH1B1
ADH4 ALDH2
ADH4 ALDH3A1
ADH4 ALDH3A2
ADH4 ALDH3B1
ADH4 ALDH3B2
ADH4 ALDH7A1
ADH4 ALDH9A1
ADH4 AOX1
ADH4 AWAT2
ADH4 COMT
ADH4 CYP27C1
ADH4 DGAT1
ADH4 LRAT
ADH4 LRTOMT
ADH4 MAOA
ADH4 MAOB
ADH4 PNPLA4
ADH5 ALDH1A1
ADH5 ALDH1A2
ADH5 ALDH1A3
ADH5 ALDH1B1
ADH5 ALDH2
ADH5 ALDH3A1
ADH5 ALDH3A2
ADH5 ALDH3B1
ADH5 ALDH3B2
ADH5 ALDH7A1
ADH5 ALDH9A1
ADH5 AOX1
ADH5 AWAT2
ADH5 COMT
ADH5 CYP27C1
ADH5 DGAT1
ADH5 LRAT
ADH5 LRTOMT
ADH5 MAOA
ADH5 MAOB
ADH5 PNPLA4
ADH6 ALDH1A1
ADH6 ALDH1A2
ADH6 ALDH1A3
ADH6 ALDH1B1
ADH6 ALDH2
ADH6 ALDH3A1
ADH6 ALDH3A2
ADH6 ALDH3B1
ADH6 ALDH3B2
ADH6 ALDH7A1
ADH6 ALDH9A1
ADH6 AOX1
ADH6 AWAT2
ADH6 COMT
ADH6 CYP27C1
ADH6 DGAT1
ADH6 LRAT
ADH6 LRTOMT
ADH6 MAOA
ADH6 MAOB
ADH6 PNPLA4
ADH7 ALDH1A1
ADH7 ALDH1A2
ADH7 ALDH1A3
ADH7 ALDH1B1
ADH7 ALDH2
ADH7 ALDH3A1
ADH7 ALDH3A2
ADH7 ALDH3B1
ADH7 ALDH3B2
ADH7 ALDH7A1
ADH7 ALDH9A1
ADH7 AOX1
ADH7 AWAT2
ADH7 COMT
ADH7 CYP27C1
ADH7 DGAT1
ADH7 LRAT
ADH7 LRTOMT
ADH7 MAOA
ADH7 MAOB
ADH7 PNPLA4
ADI1 ENOPH1
ADIPOQ ADIPOR1
ADIPOQ ADIPOR2
ADIPOQ PPARA
ADIPOQ SLC2A4
ADIPOR1 APPL1
ADIPOR1 CAMKK2
ADIPOR1 PPARA
ADIPOR1 PRKAA1
ADIPOR1 PRKAA2
ADIPOR1 PRKAB1
ADIPOR1 PRKAB2
ADIPOR1 PRKAG1
ADIPOR1 PRKAG2
ADIPOR1 PRKAG3
ADIPOR1 STK11
ADIPOR2 APPL1
ADIPOR2 CAMKK2
ADIPOR2 PPARA
ADIPOR2 PRKAA1
ADIPOR2 PRKAA2
ADIPOR2 PRKAB1
ADIPOR2 PRKAB2
ADIPOR2 PRKAG1
ADIPOR2 PRKAG2
ADIPOR2 PRKAG3
ADIPOR2 STK11
ADK ADA
ADK ADA2
ADK PNP
ADM CALCR
ADM CALCRL
ADM RAMP1
ADM RAMP2
ADM RAMP3
ADO CSAD
ADO GAD1
ADO GAD2
ADO GADL1
ADORA1 GNAI1
ADORA1 GNAI2
ADORA1 GNAI3
ADORA2A GNAL
ADORA2A GNAQ
ADORA2A GNAS
ADORA2B GNAL
ADORA2B GNAQ
ADORA2B GNAS
ADORA3 GNAI1
ADORA3 GNAI2
ADORA3 GNAI3
ADPGK GPI
ADPGK PGM1
ADPGK PGM2
ADRA1A GNA11
ADRA1A GNA12
ADRA1A GNA13
ADRA1A GNA14
ADRA1A GNA15
ADRA1A GNAQ
ADRA1A PRKAA1
ADRA1A PRKAA2
ADRA1A PRKAB1
ADRA1A PRKAB2
ADRA1A PRKAG1
ADRA1A PRKAG2
ADRA1A PRKAG3
ADRA1A TRPC6
ADRA1B GNA11
ADRA1B GNA12
ADRA1B GNA13
ADRA1B GNA14
ADRA1B GNA15
ADRA1B GNAQ
ADRA1B TRPC6
ADRA1D GNA11
ADRA1D GNA12
ADRA1D GNA13
ADRA1D GNA14
ADRA1D GNA15
ADRA1D GNAQ
ADRA1D TRPC6
ADRA2A GNA11
ADRA2A GNA12
ADRA2A GNA13
ADRA2A GNAQ
ADRA2A TRPC6
ADRA2B GNA11
ADRA2B GNA12
ADRA2B GNA13
ADRA2B GNAQ
ADRA2B TRPC6
ADRA2C GNA11
ADRA2C GNA12
ADRA2C GNA13
ADRA2C GNAQ
ADRA2C TRPC6
ADRB1 GNAI1
ADRB1 GNAI2
ADRB1 GNAI3
ADRB1 GNAL
ADRB1 GNAS
ADRB2 GNAI1
ADRB2 GNAI2
ADRB2 GNAI3
ADRB2 GNAL
ADRB2 GNAS
ADRB3 GNAI1
ADRB3 GNAI2
ADRB3 GNAI3
ADRB3 GNAL
ADRB3 GNAS
ADSL ADK
ADSL AMPD1
ADSL AMPD2
ADSL AMPD3
ADSL APRT
ADSL ATIC
ADSL DCK
ADSL NT5C
ADSL NT5C1A
ADSL NT5C1B
ADSL NT5C1B-RDH14
ADSL NT5C2
ADSL NT5C3A
ADSL NT5C3B
ADSL NT5E
ADSL NT5M
ADSS1 ADSL
ADSS1 ASNS
ADSS1 ASPA
ADSS1 ASRGL1
ADSS1 ATIC
ADSS1 CAD
ADSS1 CANT1
ADSS1 ENTPD1
ADSS1 ENTPD3
ADSS1 ENTPD4
ADSS1 ENTPD5
ADSS1 ENTPD6
ADSS1 ENTPD8
ADSS1 GOT1
ADSS1 GOT2
ADSS1 HPRT1
ADSS1 IL4I1
ADSS1 IMPDH1
ADSS1 IMPDH2
ADSS1 ITPA
ADSS1 NAT8L
ADSS1 NT5C
ADSS1 NT5C1A
ADSS1 NT5C1B
ADSS1 NT5C1B-RDH14
ADSS1 NT5C2
ADSS1 NT5C3A
ADSS1 NT5C3B
ADSS1 NT5E
ADSS1 NT5M
ADSS1 NUDT16
ADSS2 ADSL
ADSS2 ASNS
ADSS2 ASPA
ADSS2 ASRGL1
ADSS2 ATIC
ADSS2 CAD
ADSS2 CANT1
ADSS2 ENTPD1
ADSS2 ENTPD3
ADSS2 ENTPD4
ADSS2 ENTPD5
ADSS2 ENTPD6
ADSS2 ENTPD8
ADSS2 GOT1
ADSS2 GOT2
ADSS2 HPRT1
ADSS2 IL4I1
ADSS2 IMPDH1
ADSS2 IMPDH2
ADSS2 ITPA
ADSS2 NAT8L
ADSS2 NT5C
ADSS2 NT5C1A
ADSS2 NT5C1B
ADSS2 NT5C1B-RDH14
ADSS2 NT5C2
ADSS2 NT5C3A
ADSS2 NT5C3B
ADSS2 NT5E
ADSS2 NT5M
ADSS2 NUDT16
AFDN ACTB
AFDN ACTG1
AFDN CTNND1
AFDN NECTIN1
AFDN NECTIN2
AFDN NECTIN3
AFDN NECTIN4
AFDN RAP1A
AFDN SIPA1
AFDN TJP1
AFDN TJP2
AFMID AADAT
AFMID IDO1
AFMID IDO2
AFMID KMO
AFMID KYAT1
AFMID KYAT3
AFMID KYNU
