gene1	gene2	pathwayID	type
Prps2	Rpia	mmu00030	110
Prps1	Rpia	mmu00030	110
Prps1l3	Rpia	mmu00030	110
Prps1l1	Rpia	mmu00030	110
Rbks	Tkt	mmu00030	110
Rbks	Tktl2	mmu00030	110
Rbks	Tktl1	mmu00030	110
Pgm2	Tkt	mmu00030	110
Pgm2	Tktl2	mmu00030	110
Pgm2	Tktl1	mmu00030	110
Tkt	Pgm1	mmu00030	110
Tktl2	Pgm1	mmu00030	110
Tktl1	Pgm1	mmu00030	110
Prps2	Tkt	mmu00030	110
Prps2	Tktl2	mmu00030	110
Prps2	Tktl1	mmu00030	110
Prps1	Tkt	mmu00030	110
Prps1	Tktl2	mmu00030	110
Prps1	Tktl1	mmu00030	110
Prps1l3	Tkt	mmu00030	110
Prps1l3	Tktl2	mmu00030	110
Prps1l3	Tktl1	mmu00030	110
Prps1l1	Tkt	mmu00030	110
Prps1l1	Tktl2	mmu00030	110
Prps1l1	Tktl1	mmu00030	110
Pgm2	Rbks	mmu00030	110
Rbks	Pgm1	mmu00030	110
Prps2	Rbks	mmu00030	110
Prps1	Rbks	mmu00030	110
Prps1l3	Rbks	mmu00030	110
Prps1l1	Rbks	mmu00030	110
Prps2	Pgm2	mmu00030	110
Prps1	Pgm2	mmu00030	110
Prps1l3	Pgm2	mmu00030	110
Prps1l1	Pgm2	mmu00030	110
Prps2	Pgm1	mmu00030	110
Prps1	Pgm1	mmu00030	110
Prps1l3	Pgm1	mmu00030	110
Prps1l1	Pgm1	mmu00030	110
Tkt	Taldo1	mmu00030	116
Tktl2	Taldo1	mmu00030	116
Tktl1	Taldo1	mmu00030	116
Tkt	Gpi1	mmu00030	124
Tktl2	Gpi1	mmu00030	124
Tktl1	Gpi1	mmu00030	124
Pfkl	Gpi1	mmu00030	124
Pfkm	Gpi1	mmu00030	124
Pfkp	Gpi1	mmu00030	124
Fbp2	Gpi1	mmu00030	124
Fbp1	Gpi1	mmu00030	124
Tkt	Pfkl	mmu00030	124
Tkt	Pfkm	mmu00030	124
Tkt	Pfkp	mmu00030	124
Tktl2	Pfkl	mmu00030	124
Tktl2	Pfkm	mmu00030	124
Tktl2	Pfkp	mmu00030	124
Tktl1	Pfkl	mmu00030	124
Tktl1	Pfkm	mmu00030	124
Tktl1	Pfkp	mmu00030	124
Tkt	Fbp2	mmu00030	124
Tkt	Fbp1	mmu00030	124
Tktl2	Fbp2	mmu00030	124
Tktl2	Fbp1	mmu00030	124
Tktl1	Fbp2	mmu00030	124
Tktl1	Fbp1	mmu00030	124
Aldoa	Pfkl	mmu00030	120
Aldoa	Pfkm	mmu00030	120
Aldoa	Pfkp	mmu00030	120
Aldoc	Pfkl	mmu00030	120
Aldoc	Pfkm	mmu00030	120
Aldoc	Pfkp	mmu00030	120
Aldob	Pfkl	mmu00030	120
Aldob	Pfkm	mmu00030	120
Aldob	Pfkp	mmu00030	120
Aldoart1	Pfkl	mmu00030	120
Aldoart1	Pfkm	mmu00030	120
Aldoart1	Pfkp	mmu00030	120
Aldoa	Fbp2	mmu00030	120
Aldoa	Fbp1	mmu00030	120
Aldoc	Fbp2	mmu00030	120
Aldoc	Fbp1	mmu00030	120
Aldob	Fbp2	mmu00030	120
Aldob	Fbp1	mmu00030	120
Aldoart1	Fbp2	mmu00030	120
Aldoart1	Fbp1	mmu00030	120
Tkt	Aldoa	mmu00030	119
Tkt	Aldoc	mmu00030	119
Tkt	Aldob	mmu00030	119
Tkt	Aldoart1	mmu00030	119
Tktl2	Aldoa	mmu00030	119
Tktl2	Aldoc	mmu00030	119
Tktl2	Aldob	mmu00030	119
Tktl2	Aldoart1	mmu00030	119
Tktl1	Aldoa	mmu00030	119
Tktl1	Aldoc	mmu00030	119
Tktl1	Aldob	mmu00030	119
Tktl1	Aldoart1	mmu00030	119
Dera	Aldoa	mmu00030	119
Dera	Aldoc	mmu00030	119
Dera	Aldob	mmu00030	119
Dera	Aldoart1	mmu00030	119
Dera	Tkt	mmu00030	119
Dera	Tktl2	mmu00030	119
Dera	Tktl1	mmu00030	119
Rbks	Dera	mmu00030	118
Pgm2	Dera	mmu00030	118
Fbp2	Taldo1	mmu00030	124
Fbp1	Taldo1	mmu00030	124
Pfkl	Taldo1	mmu00030	124
Pfkm	Taldo1	mmu00030	124
Pfkp	Taldo1	mmu00030	124
Gpi1	Taldo1	mmu00030	124
Tkt	Rpe	mmu00030	129
Tktl2	Rpe	mmu00030	129
Tktl1	Rpe	mmu00030	129
Aldoa	Taldo1	mmu00030	119
Aldoc	Taldo1	mmu00030	119
Aldob	Taldo1	mmu00030	119
Aldoart1	Taldo1	mmu00030	119
Dera	Taldo1	mmu00030	119
Pgls	H6pd	mmu00030	106
