Grin1	Plcg1
Grin1	Ppp1cc
Grin1	Calm1
Grin1	Hspa1b
Grin1	Nf1
Grin1	Cit
Grin1	Rap2a
Grin1	Rac1
Grin1	Ptpn11
Grin1	Ppp5c
Grin1	Ppp3ca
Grin1	Ppp2ca
Grin1	Plcb1
Grin2b	Nsf
Grin2b	Actn2
Grin2b	Dnm1
Grin2b	Hspa1b
Grin2b	Ptpn11
Grin2b	Ppp3ca
Grin2b	Dlg3
Grin2b	Camk2b
Grin2b	Dlg4
Grin2b	Klc2
Grin2b	Tp53bp1
Grin2b	Tjp1
Grin2b	Ina
Grin2b	Camk2a
Grin2b	Appl1
Grin2b	Dlg1
Grin2b	Myo5a
Grin2b	Cltc
Grin2b	Tuba1a
Grin2b	Bsn
Grin2b	Fam171a1
Grin2b	Pfkl
Grin2b	Ppp2r1a
Grin2b	Dlgap1
Grin2b	Dlg2
Grin2b	Grin2a
Grin2b	Grm1
Grin2b	Fus
Ywhab	Ywhae
Ywhab	Ywhah
Ywhab	Ywhag
Ywhab	Ywhaq
Ywhab	Ywhaz
Ywhab	Ppp2r1a
Ywhab	App
Ywhab	Aak1
Ywhab	Abcd3
Ywhab	Abi1
Ywhab	Acaca
Ywhab	Acsbg1
Ywhab	Acly
Ywhab	Aco2
Ywhab	Acsl6
Ywhab	Actb
Ywhab	Actn1
Ywhab	Actn2
Ywhab	Actn4
Ywhab	Actr1a
Ywhab	Adam11
Ywhab	Adam22
Ywhab	Adam23
Ywhab	Add1
Ywhab	Add2
Ywhab	Add3
Ywhab	Slc25a4
Ywhab	Slc25a5
Ywhab	Agap2
Ywhab	Agk
Ywhab	Adgrl1
Ywhab	Adgrl3
Ywhab	Aifm1
Ywhab	Ina
Ywhab	Akt2
Ywhab	Aldh1a1
Ywhab	Aldh1l1
Ywhab	Aldoa
Ywhab	Aldoc
Ywhab	Amph
Ywhab	Ank2
Ywhab	Ank3
Ywhab	Maoa
Ywhab	Snap91
Ywhab	Ap1b1
Ywhab	Ap2a1
Ywhab	Ap2a2
Ywhab	Ap2b1
Ywhab	Ap2m1
Ywhab	Ap3d1
Ywhab	Ap3m2
Ywhab	Grk2
Ywhab	Arpc1a
