Acp5 Enpp1
Acp5 Enpp3
Acp5 Flad1
Acsbg1 Fasn
Acsbg2 Fasn
Acsbg3 Fasn
Acsf3 Acaca
Acsf3 Acacb
Acsf3 Aldh1b1
Acsf3 Aldh2
Acsf3 Aldh3a2
Acsf3 Aldh7a1
Acsf3 Aldh9a1
Acsf3 Aox1
Acsf3 Aox2
Acsf3 Aox3
Acsf3 Aox4
Acsf3 Fasn
Acsf3 Mcat
Acsf3 Mcee
Acsl1 Fasn
Acsl3 Fasn
Acsl4 Fasn
Acsl5 Fasn
Acsl6 Fasn
Acsm1 Lipt1
Acss1 Acaca
Acss1 Acacb
Acss1 Acads
Acss1 Acat1
Acss1 Acat2
Acss1 Acot12
Acss1 Acss2
Acss1 Acyp1
Acss1 Acyp2
Acss1 Aldh1a3
Acss1 Aldh1b1
Acss1 Aldh2
Acss1 Aldh3a1
Acss1 Aldh3a2
Acss1 Aldh3b1
Acss1 Aldh3b2
Acss1 Aldh3b3
Acss1 Aldh7a1
Acss1 Aldh9a1
Acss1 Cs
Acss1 Csl
Acss1 Dlat
Acss2 Acaca
Acss2 Acacb
Acss2 Acads
Acss2 Acat1
Acss2 Acat2
Acss2 Acot12
Acss2 Acss1
Acss2 Acyp1
Acss2 Acyp2
Acss2 Aldh1a3
Acss2 Aldh1b1
Acss2 Aldh2
Acss2 Aldh3a1
Acss2 Aldh3a2
Acss2 Aldh3b1
Acss2 Aldh3b2
Acss2 Aldh3b3
Acss2 Aldh7a1
Acss2 Aldh9a1
Acss2 Cs
Acss2 Csl
Acss2 Dlat
Acss3 Acads
Acss3 Acss1
Acss3 Acss2
Actb Actn1
Actb Actn4
Actb Afdn
Actb Arpc1a
Actb Arpc1b
Actb Arpc2
Actb Arpc3
Actb Arpc4
Actb Arpc5
Actb Arpc5l
Actb Cfl1
Actb Cfl2
Actb Ctnna1
Actb Ctnna2
Actb Ctnna3
Actb Itga2b
Actb Itgb3
Actb Myl6
Actb Myl6b
Actb Myl9
Actb Pfn1
Actb Pfn2
Actb Pfn3
Actb Pfn4
Actb Pparg
Actb Stk3
Actb Synpo
Actb Tjp1
Actb Tmsb4x
Actb Vcl
Actc1 Myh6
Actc1 Myh7
Actc1 Myl2
Actc1 Myl3
Actc1 Myl4
Actc1 Tpm1
Actc1 Tpm2
Actc1 Tpm3
Actc1 Tpm4
Actg1 Actn1
Actg1 Actn4
Actg1 Afdn
Actg1 Arpc1a
