gene1	gene2	pathwayID	type
MDH2	PCK1	hsa00020	63
MDH2	PCK2	hsa00020	63
ACLY	PC	hsa00020	63
ACLY	PCK1	hsa00020	63
ACLY	PCK2	hsa00020	63
CS	PC	hsa00020	63
CS	PCK1	hsa00020	63
CS	PCK2	hsa00020	63
PC	PCK1	hsa00020	63
PC	PCK2	hsa00020	63
MDH1	FH	hsa00020	66
MDH2	FH	hsa00020	66
FH	SDHA	hsa00020	62
FH	SDHB	hsa00020	62
FH	SDHC	hsa00020	62
FH	SDHD	hsa00020	62
SDHA	SUCLG2	hsa00020	69
SDHA	SUCLG1	hsa00020	69
SDHA	SUCLA2	hsa00020	69
SDHB	SUCLG2	hsa00020	69
SDHB	SUCLG1	hsa00020	69
SDHB	SUCLA2	hsa00020	69
SDHC	SUCLG2	hsa00020	69
SDHC	SUCLG1	hsa00020	69
SDHC	SUCLA2	hsa00020	69
SDHD	SUCLG2	hsa00020	69
SDHD	SUCLG1	hsa00020	69
SDHD	SUCLA2	hsa00020	69
SUCLG2	DLST	hsa00020	75
SUCLG1	DLST	hsa00020	75
SUCLA2	DLST	hsa00020	75
DLST	OGDH	hsa00020	73
DLST	OGDHL	hsa00020	73
DLST	DLD	hsa00020	74
DLD	OGDH	hsa00020	71
DLD	OGDHL	hsa00020	71
OGDH	IDH3A	hsa00020	76
OGDH	IDH3B	hsa00020	76
OGDH	IDH3G	hsa00020	76
OGDHL	IDH3A	hsa00020	76
OGDHL	IDH3B	hsa00020	76
OGDHL	IDH3G	hsa00020	76
OGDH	IDH1	hsa00020	76
OGDH	IDH2	hsa00020	76
OGDHL	IDH1	hsa00020	76
OGDHL	IDH2	hsa00020	76
IDH3A	IDH1	hsa00020	76
IDH3A	IDH2	hsa00020	76
IDH3B	IDH1	hsa00020	76
IDH3B	IDH2	hsa00020	76
IDH3G	IDH1	hsa00020	76
IDH3G	IDH2	hsa00020	76
ACO1	IDH1	hsa00020	67
ACO1	IDH2	hsa00020	67
ACO2	IDH1	hsa00020	67
ACO2	IDH2	hsa00020	67
ACO1	IDH3A	hsa00020	67
ACO1	IDH3B	hsa00020	67
ACO1	IDH3G	hsa00020	67
ACO2	IDH3A	hsa00020	67
ACO2	IDH3B	hsa00020	67
ACO2	IDH3G	hsa00020	67
CS	ACO1	hsa00020	70
CS	ACO2	hsa00020	70
ACLY	ACO1	hsa00020	70
ACLY	ACO2	hsa00020	70
DLD	PDHA1	hsa00020	87
DLD	PDHA2	hsa00020	87
DLD	PDHB	hsa00020	87
PDHA1	PDHA1	hsa00020	83
PDHA1	PDHA2	hsa00020	83
PDHA1	PDHB	hsa00020	83
PDHA2	PDHA2	hsa00020	83
PDHA2	PDHB	hsa00020	83
PDHB	PDHB	hsa00020	83
DLAT	PDHA1	hsa00020	90
DLAT	PDHA2	hsa00020	90
DLAT	PDHB	hsa00020	90
DLD	DLAT	hsa00020	101
IDNK	RGN	hsa00030	115
PGD	PGLS	hsa00030	119
PGLS	IDNK	hsa00030	119
PGD	IDNK	hsa00030	119
PGLS	G6PD	hsa00030	135
